,id,Nama_Destinasi,Deskripsi_Singkat,Kategori,Lokasi,Latitude,Longitude,Rating,Jumlah_Ulasan,Ulasan_1,Ulasan_2,Ulasan_3,Ulasan_4
19,19,Desa Budaya Kertalangu,"Jogging menjadi kegiatan favorit di bekas desa yang indah dengan area berumput, kolam & gong raksasa.",Pusat kebudayaan,"Jl. Bypass Ngurah Rai No.88, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237",-8.646.294,115.255.271,"4,3",2.283,"Tempat yang lumayan bisa melepaskan penat saat weekend. Ada kolam renang, taman pancing ikan, jalan trecking.","tempat wisata alam untuk keluarga hemat murah meriah, terdapat berbagai fasilitas seperti kolam renang anak dan dewasa, jogging track dengan view persawahan, kolam pemancingan yang nyaman dilengkapi bale-bale untuk menikmati hasil pancingan (bisa request berbagai macam masakan di restonya), recommended","Tempat yang bagus untuk acara kelompok,, outdoor acara kantor atau keluarga. ğŸ˜‰","Disini terdapat area olahraga joging track sepanjang 1,5KM dengan nuansa alam persawahan. Udaranya yang sejuk menambah kita untuk lebih semangat lagi dalam berolah raga. Ketika liburan selalu dipadati orang-orang yang sedang joging dan jalan-jalan"
20,20,Trans Studio Theme Park Bali,"Taman hiburan ini memadukan elemen modern dengan sentuhan budaya lokal, menghadirkan berbagai wahana dan atraksi yang cocok untuk segala usia.",Taman Hiburan,"Jl. Imam Bonjol No.440, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119",-8.662.070,115.208.473,"4,5",5.361,"Trans Studio Bali adalah taman hiburan dalam ruangan menakjubkan yang menawarkan pengalaman hebat bagi anak-anak dan orang dewasa.

Wahananya modern, aman, dan terawat dengan baik, dengan beragam atraksi mulai dari roller coaster yang mendebarkan hingga pertunjukan ramah keluarga. Stafnya ramah dan sangat membantu.

Saya terutama menyukai dekorasi bertema Bali dan pengalaman bioskop 4D. Ini adalah tempat sempurna untuk melepaskan diri dari panas atau hujan sambil tetap menikmati hari yang menyenangkan.","Untuk area hiburan di indoor menarik, harga tiket lumayan mahal walaupun ada promo....kebanyakn permainan selalu yang bikin kaget dan serem lebih ke uji nyali dan bagus nya mmg untuk anak2 usia remaja...yang berkesan naik wahana yg di air dan pertunjukan gayatri top bgt. Terakhir pertunjukan 3D ttg keindahan indonesia..lupa namanya...30 menit an hrs nunggu giliran..lumayan pengalaman kurang menyenangkan karena tidak petugas yg mengatur alur masuknya sesuai antrian...dan setelah lihat agak mual dan pusing....tidak disarankan utk yg darah rendah pasti pusing","Tempat yang wajib dikunjungi kalau lagi di Bali! Trans Studio Theme Park Bali bener-bener seru buat semua umur. Wahananya lengkap, dari yang santai sampai yang bikin adrenalin naik, kayak Boomerang Coaster dan Formula Kart. Yang paling keren, karena ini theme park indoor, jadi nggak perlu khawatir hujan atau kepanasan!

Selain wahana, ada juga live show dengan kostum megah dan efek panggung kerenâ€”beneran bikin pengalaman makin berkesan! Tempatnya bersih, staff ramah, dan cocok banget buat seru-seruan bareng temen, keluarga, atau pasangan.

Pokoknya, worth it banget buat dikunjungi! Kalau ke Bali, jangan lupa mampir ke sini!","tempatnya seru, aktivitasnya juga banyak ,permainannya bikin ketagihan pengen main terus, banyak spot"" foto , dan ga perlu khwatir laper& haus ,karna mereka jual makanan ,cemilan, dan minuman ğŸ¥°
kalo ke bali pokonya wajib kesiniiiiiii ğŸ˜ğŸ˜ğŸ˜ğŸ˜"
21,21,Pantai Sindhu,"Pantai santai untuk berenang & menikmati matahari terbit dengan pertokoan, kafe & penjual makanan di dekatnya",Pantai,"Sanur, Denpasar Selatan, Kota Denpasar, Bali",-8.695.061,115.259.634,"4,5",990.0,"Bukan tanpa alasan orang-orang menyebut tempat indah ini dengan paradise, semoga tidak ada tangan-tangan jahat yang akan merusaknya","Pantai yg selalu rame saat weekend, senang kesini ajak anak sekedar main pasir atau mandi di pantai krna pantainya bersih. Bagus buat refreshing sore2 dikala weekend, sambil duduk santuyy di pantai sambil nikmatin lumpia rasanya benar2 nikmat.","Kalau kesini pagi-pagi aja, buat liat sunrise, sunrise udah mulai keluar sekitar jam 5 lewat 45 , atmosphere nya enak kalau Masih pagi, banyak orang jogging di sini, pet friendly, kids friendly juga.. calm type of beach","Letaknya berada satu garis dengan deretan pantai Sanur. Bisa buat renang sih, tapi kayaknya harus hati-hati karena banyak karang & kapal kecil yang berlabuh.
Di area pinggir pantai terdapat banyak bungalow, gazebo, resto & spa dengan bangunan yang semuanya unik. Cocoknya pantai ini dinikmati di pagi hari saat sunrise.
Disini gak pake tiket masuk, cuma bayar parkir aja 2000 (motor)."
22,22,Pura Geriya Tanah Kilap,Tempat ibadah ramai berpanorama sungai ini memiliki patung dan ukiran batu yang indah.,Pura,"Jl. Griya Anyar No.104, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80361",-8.719.495,115.192.079,"4,8",868.0,Melakukan persembahyangan saat hari raya galungan kemarin. Kebetulan saya nangkil sekitar jam setengah 1 siang dan suasana tidak terlalu padat. Cari parkir gampang. Suasana di areal pura juga sangat bagus. Kebersihan pura dijaga karena saya lihat ada beberapa orang ngayah sebagai juru sapu. Setelah sembahyang langsung disapu jadinya pemedek yang sembahyang berikutnya tidak kotor oleh sampah sampah bunga atau dupa yang ketinggalan tidak dibuang. Pecalang juga siaga di pintu masuk pura dan itu membuat pemedek yang masuk tidak membludak dan kacau saat persembahyang selesai dengan pemedek yang ingin keluar. Kalau di dalam sudah kosong baru dibuka. Jadinya enak saat menaruh banten ga bertabrakan dengan yang nglungsur. RahayuğŸ™,"Merupakan salah satu pura , tempat berkunjung religius , terletak jembatan dekat dengan sebelum simpang siur , tepatnya di daerah glogor carik , Denpasar Selatan ,di pinggir jalan Raya Gusti Ngurah Rai , kalau gak sempat Tangkil masuk ke dalam Pura , cukup sampai selatan , barat jembatan untuk mohon doa restu selamat sampai tempat tujuan ,
","Pura yang indah dan tenang cocok untuk bermeditasi, melupakan keduniawian dan berfokus kepada BeliauğŸ™","Tempat suci auranya positif memberi ketenangan bila sembahyang di sanağŸ™
"
23,23,Legong Fine Art of Batik,"â¦Galeri â©â¦batikâ©â¦, dengan kain â©â¦batikâ©â¦ yang memang bagus dan berkualitas.",Toko Pakaian,"Jl. W. R. Supratman No. 312, Tohpati, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80236
",-8.637.212,115.255.279,"4,4",254.0,"It was interesting and impressive to see how batik is made however, would have liked to see the demonstration a bit more. The shop had a lot of really nice batik selections.","English // It was an amain experience to learn traditional Batik art. They use wax to take negative and use really colorful colored arts. They also sell non framed batik art and clothing.

You have a chance to see traditional Balinese house next door.","It was a nice and interesting short trip. The ladies there explained and showed to us the process of Batik making as well as Sarong making. Since the entire process is all done by hand, it requires a lot of patience and time which explains why a hand-made sarong or batik dress is priced way higher than the ones you can buy from tourist markets.

The batik paintings is a must check tho.",Amazing experience. Such time consuming and intricate work. So much product available to buy at reasonable prices. The batik material I bought was lovely and I made into a playsuit.
24,24,Upside Down World Bali,"Tempat foto unik yang menampilkan lokasi terbalik, dengan furnitur yang ditata di langit-langit.",Tujuan Wisata,"Jl. Bypass Ngurah Rai No.762, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221",-8.712.000,115.226.997,"4,2",3.982,"Very interesting! Bagi yang suka foto2, disini tempatnya. Banyak sekali pilihan spot untuk berfoto. Dan bikin bingung karena semuanya terbalik! Tapi jangan khawatirâ€¦ Kita akan dibantu oleh staff disana saat pengambilan gambar. Diarahkan juga bagaimana bergaya dengan background yang ada. Sangat penyenangkan! Dan karena kami datang saat pandemi, dibatasi satu group saja yang bisa masuk untuk kegiatan foto. Pokoknya asyik banget. Masih pengen kesana lagi dan foto2 lagi.. ğŸ˜€ Oiya, ada entrance fee ya. Tapj murah kokâ€¦",Interesting place to visit - especially when it was raining. The photos came out well. The guide was very helpful - maybe could have guided us through a little slower though - to get the hang of the upsidedown concept a little better in some of the rooms - especially when there was no other group there. Reasonable price and friendly staff.,"Tempat foto unik. Lebih seru kalau datang bersama keluarga ğŸ‘ª atau teman. Jika datang sendiri pun tidak apa"", karena disana akan ada orang yang membantu kita untuk foto dan akan diarahkan gayanya ğŸ˜. Tempat yang cocok dijadikan tempat hiburan bersama keluarga dan dapat diabadikan menjadi foto yang unik dan dapat bersenang-senang. Konsep yang baik membuat hasil foto terlihat seakan-akan kita berada di dunia yang semuanya serba terbalik. Spot foto yang lucu-lucu membuat kita bebas berekspresi. Semua pekerjanya ramah dan dengan sukarela menawarkan bantuan untuk mengambil gambar dan mengarahkan gaya. Tiket masuknya juga ditawarkan dengan harga yang masih bisa dijangkau","Tempat berfoto yang seru. Bangunan ini memiliki sekitar 9 ruang dengan segala perabot yang terbalik untuk kita berfoto secara unik. Bayar sekitar 100 ribu untuk 1 orang.
Petugas menyediakan diri untuk memotret dan mengarahkan gaya."
25,25,"Taman Bali, Padang Galak","Taman hiburan terbengkalai sejak 1990-an, dikelilingi hutan dan dengan grafiti menghiasi bangunannya.",Kota Hantu,"Jl. Padang Galak No.3, Kesiman, Kec. Denpasar Tim., Kota Denpasar, Bali",-8.657.199,115.258.554,"4,4",1.857,"The facility is more than twice as large as imagined. There are many buildings and a variety of graffiti can be seen. The hall-like area is filled with rainwater and has a mysterious atmosphere. It is quite remote, but I am glad I went.","Fantastic place, awesome murals and artwork. A lot bigger than I thought it would be! Went there about midday, had the place to ourselves and no mosquitoes at that time of day.","The artwork here is amazing, especially with the ocean as a backdrop. We got a ride here, walked all around, then followed the beach walk back to Sanur beach side markets. It was a great day.
We would highly recommend taking bug repellent with you and using double what you normally would. They are relentless.
","Very cool place, you can wander for hours and still find new graffiti. There's also some abandoned buildings with bats (kool), but the mosquitoes get really bad around dusk, so definitely come before then (you can't see anything after sunset anyway, so perhaps the mosquitoes are just a warning ğŸ˜…)."
26,26,CitraLand Waterpark,"Terletak di kompleks perumahan elit Citraland Denpasar, waterpark ini menyajikan beragam wahana air yang dapat dinikmati oleh pengunjung segala usia.",Taman Rekreasi Air,"Perumahan CitraLand, Jl. Cargo Permai, Ubung Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80116
",-8.622.922,115.192.839,"4,4",3.137,"seandainya kebersihan kolam ditingkatkan, akan jadi salah 1 tujuan rekreasi keluarga yang cukup oke..
air kolam besar nya butek banget omg.. ketika renang pakai kacamata renang sampai tidak keliatan apa2 ( burem ) saking buteknya..
tapi untuk area anak nya seru~
cocok untuk anak2 kecil",Tempatnya asik banget buat main air bareng keluarga atau temen-temen! Tempatnya bersih dan fasilitasnya lengkap. Yang paling saya suka itu suasananya yang aman bagi anak anak. Petugasnya juga sigap dan ramah. Cocok banget untuk liburan akhir pekan atau quality time bareng keluarga. Kalau lagi ke bali wajib nih buat dikunjungin bareng keluargağŸ¤©ğŸ™Œ,Nice and funny place for weekend with our family. Rekomended for your family,"Wahana permainan lumayan membuat anak Happy, dengan tiket masuk 50k. Kadang ad promo tertentuâ€¦ cm sedikit pemasukan dan saran sj, untuk di kolam anak, pas penurunan agak berbahaya, karna kl dilihat lumutan dan tidak dibersihkan. Sangat berbahaya sekali menurut sy. Karna ad beberapa anak dan termasuk anak sy yg sempat jatuh ke peleset dan kebentur kepalanyaâ€¦ saran sy lebih baik diberi pembatas, agar lebih aman untuk kita bersamaâ€¦ terima kasihâ€¦ğŸ™ğŸ»ğŸ™ğŸ»ğŸ™ğŸ»"
27,27,Pantai cemara,"Pantai ini memiliki pasir putih yang indahâ©â¦. Cocok untuk tempat berjemur, dengan deretan hotel-hotel bintang 5.",Pantai,"Jl. Cemara No.35, Sanur, Bali 80228",-8.707.149,115.258.508,"4,6",28.0,"Pantainya bagus dan sudah tersedia sepedah untuk yang ingin jalan jalan sambil menikmati pantai, tapi mungkin ada suatu waktu air pantainya kotor seperti ada daun daun ntah itu terbawa dari mana, sangat disayangkan padahal pemandangannya bagus, htm atau tiket gratis, semoga semakin cantik dan bersih kemudian hari, tetap jaga keasrian alam yang kita kunjungi dengan cara tidak membuang sampah sembarangan ya. I love bali. â¤ï¸","menurutku lebih worth main kesini daripada ke pantai Sanur, tempat ga terlalu ramai karena ga umum orang tau jadi weekend pun ga over padat, ada ayunan aesthetic buat spot foto, sewa sepeda bebas digunain kemana aja yang penting balik sebelum jam habis (oke sama aja sih kek Sanur wkwkwk) pas area resort dan hotel jadi banyak usaha makanan entah itu resto yang lumayan pricey sampe yang kaki lima, dateng dari jam 3 sampe matahari terbenam kaya ngerasain golden time lahh mantap","Pantai yang bagus, suasana tenang",Tempat untuk foto matahari terbenam yang indah
28,28,Kids SoHo Playground,"Tempat yang sangat bagus untuk bermain dengan anak - anak. Sambil menunggu anak bermain, bisa ngopi di cafe yang sangat cantik.",Taman bermain,"Jl. Bypass Ngurah Rai No.278, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228
",-8.704.332,115.250.987,"4,6",622.0,"Saya sangat puas dengan pengalaman mengunjungi kids soho ini. Fasilitas yang disediakan sangat lengkap dan terawat dengan baik, dan makanan di cafenya juga enak,
Pelayanan yang diberikan oleh staff juga sangat baik, responsif, dan ramah. Mereka memastikan keamanan dan kenyamanan pengunjung selama berada di playground.

Saya sangat merekomendasikan kids playground ini sebagai destinasi liburan anak anak.","tempat yang sangat cozy untuk ngajak main anak anak disini. banyak jenis permainan dan juga aktivitas yg bisa dilakukan. terdapat cafe juga dengan harga yg affordable sekali. tempatnya cantik dan sangat colurfull, dijamin anak anak sukaâ­ï¸â­ï¸â­ï¸â­ï¸â­ï¸","Kids soho adalah kids playground yang harus di kunjungi karena selain memiliki banyak permainan, mereka juga memiliki beberapa kids activities dan class. Sembari menunggu keponakan saya bermain di playground, saya biasanya menunggu di cafe mereka. Mereka ada beberapa makanan dengan porsi kids dan porsi dewasa,untuk makanan dan minumannya enak dan staff yang ramah. Keponakan saya sangat senang jika kita bermain di kids soho. Akan kembali lagi bersama keponakan saya.","pernah main kesini 2 kali. Enak banget luas, staff ramah permainan banyak tidak membuat bosaan. Recomend bangeet"
29,29,Patung Catur Muka,"Patung Catur Muka memiliki makna simbolis yang mendalam. Kata ""catur muka"" berarti ""empat muka"", yang mewakili empat arah mata angin.",Patung,"86V8+JQ8, Dangin Puri Kauh, Kec. Denpasar Utara, Kota Denpasar, Bali 80232",-8.656.470,115.221.660,"4,7",668.0,"Patung Catur Muka. Salah satu ikon kota denpasar terletak disimpang empat jalan gajah mada. Dekat dengan lapangan puputun badung. Dilokasi ini terdapat jam lonceng peninggalan penjajah, tepat disisi jalan simpang empat depan lapangan puputan badung. Dari titik ini kita dapat menjangkau pasar badung, pasar seni kumbasari dan beberapa lokasi kantor perbankan dan pemerintah. Tak jauh dari titik ini juga terdapat pasar burung. Seperti namanya Patung Catur Muka, maka patung ini terdapat empat wajah yang ikonik. Salah satu statue yang wajib di kunjungi para wisatawan","Tempat ikonik sekali di Denpasar.. terkenal dengan air mancurnya, denfest, dan arena olahraga puputan Badungnya, selain itu di catus pata ini digunakan juga berbagai acara besar lainnya, hal ini tidak lain karena disini merupakan pusat pemerintahan kota denpasar, dekat dengan tempat kerja saya juga, dan dekat pula dengan sektor perbankan. Jadilah disini pusat kota kedua, ikonik setelah teuku umar.. patung catur muka ini sendiri juga merupakan patung kreasi seni tingkat tinggi yang sudah ada sejak lama.","Catur muka adalah tempat terbaik, bertepatan perayaan nyepi vibes semakin luar biasa, kerumunan supporter ogoh ogoh dari berbagai Banjar turut hadir untuk mendukung para jagoannya Suatu moment yang tak terlupakan.",Titik 0 kota denpasar. Pusat kota dan juga menjadi salah satu perempatan yang paling penting di kota denpasar. karena selalu menjadi pusat kegiatan keagamaan dan tradisi hindu Bali. Disebelahnya ada alun alun yang selalu ramai dari pagi hingga malam hari sebagai tempat olahraga dan rekreasi
30,30,Gunung Catur,"Gunung Catur adalah gunung tertinggi keempat yang ada di Bali, dengan ketinggian mencapai 2096 meter di atas permukaan laut (mdpl).",Gunung,"Q52P+X9 Pelaga, Kabupaten Badung, Bali",-8.601.051,115.182.865,"4,9",53.0,"Gunung catur 2096 mdpl jalur pendakian lumayan gampang karena jalurnya jelas, ntuk naik kepuncak saya membutuhkan waktu 2jam 10 menit karena santai menikmati pemandangan hutan dan kicauan burung,,hutannya msih sangat asri dan udara sangat segar,,","Free entrance
Please bring your rubbish back and not put in parking area because it was sooo dirty!!

Respect the nature ya.

Jalannya cocok untuk pemula karena dibuat spt anak tangga (the only one in bali)

Sampai puncak ada pura please respect this area do not say something rude / bahasa kasar ya. Bisa camp diatas tp ati ati pas hari raya kadang rame
View nya bagus kalau ga ada kabut.
Hati hati banyak monyet
Jalur walaupun hujan masih aman as long pake sepatu mendaki ya","Gunung berketinggian 2096mdpl yg sangat ramah buat pemula, akses ke basecamp gampang (via Plaga), jalur jelas dan sudah terbentuk, hanya butuh waktu 3 jam santai sampai ke puncak, jalur khas hutan hujan tropis, dan view di puncak yg menawan","Pendakian Puncak Mangu - Gunung Catur dengan 2096 mdpl melalui  jalur bedugul menghabiskan waktu kurang lebih 2jam 55menit dengan pace yang santai. Tipikal jalur hujan tropis, lebih hati-hati dengan pacet."
31,31,IAM Bali - 3D Museum & Upside Down,"Museum interaktif populer dengan seni 3D yg tampak nyata, ilusi optik & ruangan dengan efek khusus unik.",Museum Interaktif,"Bajra Sandhi Monument, Jl. Raya Puputan Ground Floor, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80234",-8.688.223,115.222.239,"4,5",1725.0,"Lukisan dan gambar bagus, hanya saja di dalam rungan terlalu sumpek atau pengap, kurang sirkulasi udara, harga 100rb per orang, anak 3 tahun sdh di hitung full,terlalu mahal buat spot foto saja, toilet terkunci petugas hanya ada di pintu masuk.",Tiket 100k.... Dpt kaos kaki karena wajib pakai kaos kaki sehingga museum tetap bersih tanpa ada jejak kotor dan bau...he.... Tapi ada kamar kamar tempat poto yg disuruh lepas kaos kaki juga.... Spot pengambilan gambar sudah ditentukan sehingga hasilnya bagus serta kli kita bingung mau gaya apa ada referensinya...klo sendirian kesini tenang ada petugas yg membantu bwt fotoin...tapi lebih baik bareng yg lain lebih rame...,"This is an excellent choice if you're looking for a place to take pictures. So many 3d paintings here. The lighting is good. Some pictures are very funny. The staffs are friendly. And in the end of the trip, you can enjoy a cup of gelato. Definitely I have no complain about this place.","Ketika memasuki tempat ini,kita disambut dengan sebuah candi mini yg megah.Memasuki museum,pengunjung diharapkan membuka sepatu dan wajib menggunakan kaos kaki atau untuk yang tidak memakai kaos kaki membeli seharga 8k.Selanjutnya tangan anda akan diberi cap untuk menandakan bahwa anda telah pergi berkunjung kesana.Ada satu wahana yg wajib anda kunjungi,bernama Rumah Hantu dimana adrenalin dan keberanian anda diuji.Seru sekali"
32,32,Pura Blanjong,Pura Blanjong ditetapkan sebagai situs cagar budaya yang dilindungi keberadaannya oleh pemerintah.,Pura,"Jl. Danau Poso Pura Blanjong No.80227, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali 80228",-8.705.646,115.251.762,"4,4",99.0,"Pura belanjong menyimpan banyak kisah, dan salah satu kisah tertua adalah kisah prasasti Blanjong yg telah ada sejak 935 SM","Pura peninggalan sejarah, ada prasasti kuno yaitu prasasti belanjong, dan dipura ini juga memiliki tarian san gamelan yg khas yaitu tari baris cina dan gamelan gong beri",Objek wisata yang menawarkan kilasan sejarah untuk mengedukasi masyarakat khususnya generasi muda tentang pusaka budaya Kota Denpasar,pura yang terkenal dengan Prasasti dan sejarahnya.
33,33,Turtle Conservation And Education Center,"Sebelum dilepas ke laut, penyu dirawat di tempat ini hingga sehat sepenuhnya.",Tujuan Wisata,"Jl. Tukad Punggawa, Serangan, Denpasar Selatan, Kota Denpasar, Bali 80229",-8.724.672,115.233.615,"4,6",1013.0,"Pengalaman baru dan seru. Belajar tentang jenis-jenis penyu, proses penyu dari telur sampai jadi besar. Tidak ada htm, tapi bisa kasi donasi seiklasnya. Ada tour guide nanti dijelasin lengkap dari 0. Suka banget. Rekomended buat anak-anak yang pengen tahu dan suka eksplore. Kalo bisa dateng oake topi karena puanas yaa deket pantai soalnya hehe ps: bisa kasi makan kura-kura ğŸ¥°ğŸ¥°","If you are in Sanur and care for your environment, a visit at the Turtle Conservation Center is a must. Entry is for free but a donation is well appreciated. After arrival you've been welcomed by a guide who gives you a short but informative tour, showing you the different turtles and their treatment. Please don't touch the sea turtles - but you are allowed to feed some of the freshwater ones ğŸ¢ Great project and worth a visit.","ini adalah tempat edukasi tentang penyu. Kirain membosankan, ternyata seru juga. Dijelaskan detail ama yg staff di sana. Semuanya ramah dan sabar. G nyangka bnyk juga penyu2 yg jadi korban terjaring nelayan tidak bertanggung jawab. Kasihan liat penyu2 yg hrs di amputasi kaki dan tangan nya. Masuk ke sini tidak dipungut biaya apapun kecuali parkir. Pengunjung cuma isi buku tamu dan stlh tur, boleh memberikan donasi sukarela nominalnya utk staff di sana dan utk biaya perawatan penyu2 malang yg ada di sana. Recommended banget.",Everyone in Bali must visit this Turtle Sanctuary. Education is important. These guys do such a great job and look after endangered and rescued turtles. This place needs your support. It is very interesting and educational. The staff are fantastic and it's free entry. Just make sure you give a good donation as it does cost the facility a lot of money to keep running.
34,34,"Ekowisata Subak Sembung, Peguyangan",â¦Ekowisata Subak Sembung â©â¦menawarkan wisata jogging track di tengah hamparan sawah yang luasâ©â¦.,Taman Ekologi,"96P7+GJ7, Jl. Ahmad Yani Utara, Peguyangan, Kec. Denpasar Utara, Kota Denpasar, Bali 80239",-8.622.995,115.208.800,"4,6",1399.0,"Salah satu spot jogging terbaik dengan pemandangan tercantik di Denpasar Utara. Pemandangannya memukau, memanjakan mata, hijau semua, dan udara yang sejuk serta bersih. Hewan hewannya juga khas seperti burung bangau yang terbang secara bergerombol. Seperti tarian burung yang cantik. Ada capung sebagai hewan indikator air bersih. Menandakan air di daerah ini bersih dan bebas polusi. Kupu kupu yang terbang kesana kemari, karna ada bunga Gumitir (berwarna kuning)

Kontur jogging tracknya naik turun dan berkelok, kadang lurus, kadang menanjak (ada tanjakan mesranya juga..hehehe) disisinya ada pengairan sawah (selokan air) yang tentu saja airnya mengalir.

Kalo datang pagi pagi sekali bisa ketemu sunrise yang cantik. Disertai kabut pagi yang syahdu. Jika sore hari ketemu sunset.

Sesekali di tepian jogging track ada ibu ibu penjual sayur, buah atau umbi umbian hasil panen sendiri.

Jika haus bisa melipir membeli minum di warung area jogging tracknya. Ada tempat berkemping juga. Walaupun tdk terlalu besar.","Jogging pagi biasanya ke sini. Bagus buat liat sunrise di jam 6.00 - 6.30 pagi. Banyak yg jualan makanan dan minuman. Habis lari pagi, minum kelapa. Parkiran luas dan bayar parkir 2rb utk motor.","Tempatnya sejuk adem saat di pagi hari dan tempat parkir yg luas, tempat ini cocok untuk jogging maupun berlari dengan teman.","tempat jalan santai bareng anak, segar banyak hijaunya, bisa liat burung, bebek, ayam, kelinci, tracknya lumayan panjang, sekali putaran udah paling cukup lah, patokan rutenya setelah ada kolam pemancingan masuk dah itu"
